TradeStep,Equity_TOP10_JPY,Equity_TOP30_JPY,Equity_TOP100_JPY
529,2388947637.56552,2432740201.4377785,2384295492.1386023
530,2415503721.965531,2457838343.0514727,2410658391.6842723
531,2432601479.9009986,2485910002.840036,2435946119.110672
532,2466924991.80251,2515570012.7069845,2467223968.134763
533,2497704979.2563796,2542965476.642756,2491374551.7815137
534,2527186908.0271726,2585875892.525671,2525865276.81902
535,2569821620.664013,2615605844.0106754,2554695017.044904
536,2581648114.9753885,2625048779.342857,2572224655.6107273
537,2612795226.0641866,2649926063.8606086,2600074419.482649
538,2640466419.3579726,2676032480.94158,2623293728.6248064
539,2686320388.619913,2705025936.27405,2645845834.659523
540,2707445463.754112,2732538830.1258526,2673119948.8973594
541,2710833652.22324,2759689318.1451626,2699861372.2844915
542,2742033863.92384,2794645738.15379,2728240523.2696967
543,2813510025.6264744,2828060650.3254375,2751768182.5025
544,2839993071.185332,2863812906.9172783,2784684481.8333583
545,2867272287.240788,2905176814.592102,2821644596.869651
546,2909415154.250776,2950580255.031808,2854070990.462123
547,2939171827.330132,2981122459.272885,2878478430.8054886
548,2961450857.597673,3002349268.796853,2902166835.6256847
549,2998573503.858952,3039335809.6970363,2933990375.3526835
550,3019045823.020796,3064540005.5520983,2966396430.879819
551,3077516723.3880706,3098539496.4469595,2998532625.0953665
552,3109809146.3971896,3136122355.1023293,3027370804.478983
553,3137758556.3199224,3170974755.101498,3052590337.82601
554,3193980574.409402,3199542829.367065,3088204998.804158
555,3240716220.909614,3235399715.350958,3116677675.6356406
556,3249013335.124668,3260375954.9770484,3143076125.384619
557,3245871391.056583,3276682563.861407,3175766006.438984
558,3258823088.640643,3291665340.773525,3207194538.713972
559,3309612205.228498,3352096869.2847214,3247346840.2316866
560,3351134810.6625667,3388327116.6630006,3284646004.7797666
561,3373581284.589078,3434212084.9894485,3312904260.495831
562,3433401598.993137,3493641574.9550295,3344256353.3668833
563,3431683396.426711,3520458581.693666,3381659503.4072766
564,3508163904.0303717,3561397764.507436,3416247358.4765143
565,3558980653.4183702,3590634705.013517,3451410397.9225187
566,3583227387.4831133,3615685796.540467,3480124314.887769
567,3600736253.2027073,3647818564.702653,3517320713.9825773
568,3652980835.1044116,3669309493.9597397,3556155908.8523483
569,3676335731.322089,3702680243.770198,3590495779.152625
570,3675313963.0858073,3738877247.469395,3630736714.1325135
571,3744600238.073624,3784319064.207393,3667772293.249585
572,3788005622.9929285,3842309626.1140456,3718960344.8234353
573,3832916657.3784304,3876248590.721272,3758790691.7848763
574,3890673868.26404,3929035607.679144,3815414081.198125
575,3934479715.3820815,3976347814.1227074,3852725106.636379
576,3982162164.433415,4027132640.9012356,3902570957.1979213
577,4032831029.6778297,4069509191.4949713,3942406439.4362397
578,4075859779.3432765,4106668775.147086,3965819264.3771214
579,4107658004.3490977,4148385597.2856545,4013645956.1704535
580,4160849775.327097,4185196016.767861,4057479200.483251
581,4215582602.9526973,4247854633.391374,4098433013.209517
582,4253510955.523793,4302403121.164556,4143856810.937013
583,4316879052.6380005,4338886751.670617,4177093363.115957
584,4350584813.475361,4373504233.896351,4216830544.678591
585,4412917014.072783,4430286112.818444,4256250053.5382195
586,4467980309.226965,4485876452.917817,4310347319.128672
587,4528335669.389272,4566243576.828564,4375023526.241667
588,4584607260.763291,4618446374.583524,4417697380.335267
589,4610345388.242593,4661005722.838237,4450698126.383015
590,4639700336.529908,4721104291.672686,4495881543.275768
591,4735460623.9392395,4780004582.785495,4534123440.776239
592,4788831604.924782,4845727304.137224,4593219468.218797
593,4845996696.123373,4907530293.734521,4633677804.76906
594,4921070084.365485,4968183628.834171,4676282079.372435
595,4973292407.935549,5018508775.087653,4731608851.248812
596,5010927492.237095,5062054653.957122,4766988424.2385645
597,5053956269.023439,5124252638.680085,4810609719.430164
598,5126395636.915065,5189313126.618066,4858453468.994101
599,5221719033.913417,5266054317.860465,4920356465.527041
600,5207648420.094591,5263916051.133663,4961727556.806326
601,5221067436.185583,5296580942.000134,4991768189.892055
602,5223040743.746055,5328702213.405163,5040008921.21875
603,5286999975.469731,5375745077.68358,5084518897.038934
604,5348336587.479427,5422049536.946804,5143418424.930164
605,5416659517.505661,5493636563.655359,5200972178.498502
606,5495888526.366013,5600420039.984758,5270907290.468613
607,5514318312.9877825,5651868020.808548,5320584311.492651
608,5531371932.666506,5696453233.175051,5378609511.112873
609,5563239252.512878,5740332988.935632,5431052099.467228
610,5604906030.742468,5783025122.722695,5471468117.126711
611,5714993578.209438,5845437392.844942,5540760041.63158
612,5788744996.199415,5925719582.4757595,5602932568.004621
613,5928900825.307323,6042102810.284837,5681586222.5015545
614,6038628223.647371,6108639527.749641,5736798443.108947
615,6133356663.20072,6193662009.725138,5800790562.90017
616,6182858268.163565,6238513543.854599,5858089792.946001
617,6288714263.886975,6337717122.688427,5924353166.591457
618,6407882074.034938,6400135719.462562,5991337607.660341
619,6455924541.136579,6474915662.512449,6061858469.204909
620,6594893711.015497,6573020584.606454,6135897535.955618
621,6622121179.530171,6642871087.04464,6207440504.421221
622,6729791469.586156,6734768841.688184,6284327125.473545
623,6791328997.373011,6811337868.974438,6353047882.624512
624,6799301398.248627,6854771010.871002,6390910888.345981
625,6805497522.352398,6900760949.728221,6444415064.278648
626,6879455048.763243,6959800652.681558,6498577342.028352
627,6937941316.625068,7027840784.277077,6560003944.01039
628,7040995681.901576,7093702218.455244,6619492381.795128
629,7144343910.094043,7201098527.230297,6698314526.395524
630,7259748704.242586,7314309671.985082,6777208012.904913
631,7357722248.971727,7370737150.374071,6838237637.305508
632,7446366517.065946,7474990524.087957,6920899804.823842
633,7542271108.532577,7584060722.497286,7007780473.489382
634,7539729904.647158,7602903216.595202,7067171226.536918
635,7555219608.01433,7660674962.6115265,7146366005.704995
636,7616663665.383508,7766303619.753816,7239568677.360589
637,7688281242.235162,7855962449.412962,7314858918.309375
638,7775027621.829755,7996677881.6643715,7411759781.544331
639,7871522367.815484,8075776277.8253565,7464311033.62831
640,7941826305.590088,8168204483.170165,7558412811.910623
641,7965653680.284559,8265313109.853702,7639990518.31469
642,8048237875.930938,8380994395.397168,7733359950.613202
643,8118733108.988286,8443679628.561495,7814045426.916293
644,8158723144.295274,8530611100.217422,7876860684.806699
645,8372164843.646882,8639725146.977455,7968184316.362185
646,8375979410.0798025,8717639555.30778,8050612136.984216
647,8471055530.025516,8809497476.762268,8160476936.155601
648,8603285910.914833,8919014033.380777,8236621138.849975
649,8663377138.502531,8989233848.60919,8314024858.109277
